Years of sample collection,Elephant ID,Sex,Estimated age (years),Shoulder height (cm),Tusk length (cm),Tusk circumference (cm)
1966-68,58,f,2.5,149.0,30.0,10.5
1966-68,78,f,2.5,151.0,27.0,10.5
1966-68,86,f,2.5,127.0,27.0,10.5
1966-68,293,f,2.5,156.0,32.0,11.0
1966-68,29,f,3.0,146.0,28.5,9.5
1966-68,43,f,3.0,149.0,30.5,10.0
1966-68,221,f,3.5,166.0,43.0,11.0
1966-68,222,f,3.5,178.0,44.0,14.0
1966-68,241,f,3.5,177.0,45.0,12.0
1966-68,255,f,3.5,171.0,46.0,13.0
1966-68,153,f,3.75,175.0,47.0,13.0
1966-68,84,f,4.0,158.0,39.5,12.0
1966-68,87,f,4.0,157.0,42.0,13.0
1966-68,205,f,4.0,178.0,49.0,13.0
1966-68,238,f,4.0,176.0,45.0,12.0
1966-68,256,f,5.0,177.0,50.0,13.0
1966-68,296,f,5.0,178.0,43.0,12.0
1966-68,33,f,6.0,184.0,48.5,11.0
1966-68,240,f,6.0,191.0,57.0,13.0
1966-68,298,f,6.0,190.0,66.0,15.0
1966-68,224,f,7.5,194.0,59.0,14.0
1966-68,290,f,7.5,183.0,65.0,14.0
1966-68,38,f,8.0,199.0,60.0,14.5
1966-68,157,f,8.0,193.0,65.0,14.0
1966-68,155,f,8.5,201.0,67.0,15.0
1966-68,59,f,10.0,231.0,79.5,17.0
1966-68,66,f,10.0,203.0,82.0,16.5
1966-68,80,f,10.0,205.0,76.5,15.0
1966-68,220,f,10.0,195.0,79.0,16.0
1966-68,253,f,10.0,224.0,83.0,19.0
1966-68,278,f,10.0,218.0,88.0,17.0
1966-68,32,f,11.0,212.0,71.0,14.0
1966-68,48,f,11.0,221.0,80.0,17.5
1966-68,179,f,11.0,205.0,67.0,14.0
1966-68,297,f,11.0,190.0,83.0,17.0
1966-68,67,f,12.0,214.0,56.0,16.0
1966-68,7,f,13.0,213.0,91.0,17.0
1966-68,15,f,13.0,214.0,81.5,17.5
1966-68,164,f,13.0,218.0,82.0,17.0
1966-68,237,f,13.0,222.0,83.0,17.0
1966-68,194,f,13.5,219.0,70.0,14.0
1966-68,23,f,14.0,218.0,84.0,17.5
1966-68,148,f,14.0,233.0,94.0,19.0
1966-68,204,f,14.0,204.0,87.0,18.0
1966-68,219,f,14.0,220.0,73.0,16.0
1966-68,199,f,14.5,230.0,75.0,19.0
1966-68,37,f,15.0,217.0,100.0,19.0
1966-68,70,f,15.0,210.0,79.0,16.0
1966-68,72,f,15.0,211.0,92.5,16.5
1966-68,74,f,15.0,226.0,91.5,20.0
1966-68,275,f,15.0,233.0,111.0,18.0
1966-68,8,f,16.0,216.0,102.0,20.5
1966-68,168,f,16.0,241.0,98.0,18.0
1966-68,243,f,16.5,237.0,91.0,19.0
1966-68,150,f,17.0,235.0,116.0,23.0
1966-68,167,f,17.0,237.0,105.0,19.0
1966-68,213,f,17.0,222.0,84.0,18.0
1966-68,226,f,17.0,243.0,106.0,21.0
1966-68,260,f,17.5,226.0,99.0,21.0
1966-68,17,f,18.0,194.0,112.0,21.0
1966-68,62,f,18.0,229.0,80.5,17.0
1966-68,81,f,18.0,229.0,86.5,17.0
1966-68,258,f,18.0,217.0,96.0,18.0
1966-68,28,f,20.0,220.0,91.5,18.5
1966-68,202,f,20.0,233.0,104.0,21.0
1966-68,39,f,21.0,223.0,99.0,18.5
1966-68,203,f,21.0,229.0,108.0,18.0
1966-68,259,f,21.0,247.0,109.0,21.0
1966-68,30,f,22.0,225.0,99.0,19.0
1966-68,40,f,22.0,246.0,115.0,21.5
1966-68,64,f,22.0,201.0,116.0,22.0
1966-68,267,f,22.0,235.0,117.0,20.0
1966-68,88,f,23.0,221.0,93.0,19.5
1966-68,215,f,23.0,249.0,107.0,20.0
1966-68,20,f,24.0,246.0,93.5,17.5
1966-68,149,f,24.0,241.0,124.0,22.0
1966-68,232,f,24.0,240.0,113.0,21.0
1966-68,294,f,24.0,245.0,114.0,22.0
1966-68,22,f,25.0,239.0,111.0,20.0
1966-68,71,f,25.0,237.0,112.0,22.0
1966-68,201,f,25.0,260.0,105.0,19.0
1966-68,227,f,25.0,245.0,118.0,23.0
1966-68,242,f,25.0,243.0,115.0,22.0
1966-68,55,f,26.0,249.0,119.0,21.0
1966-68,83,f,26.0,230.0,108.0,19.4
1966-68,166,f,26.0,247.0,107.0,22.0
1966-68,211,f,26.0,239.0,143.0,25.0
1966-68,225,f,26.0,245.0,124.0,25.0
1966-68,19,f,27.0,244.0,135.5,24.5
1966-68,144,f,27.0,242.0,136.0,23.0
1966-68,233,f,27.0,244.0,116.0,24.0
1966-68,31,f,28.0,244.0,109.5,21.7
1966-68,188,f,28.0,248.0,105.0,21.0
1966-68,1,f,30.0,243.0,139.5,22.5
1966-68,76,f,30.0,236.0,105.0,23.0
1966-68,209,f,31.0,232.0,102.0,24.0
1966-68,257,f,31.0,235.0,116.0,25.0
1966-68,14,f,32.0,251.0,140.0,25.0
1966-68,161,f,32.0,248.0,155.0,27.0
1966-68,178,f,32.0,261.0,143.0,23.0
1966-68,192,f,32.0,251.0,129.0,22.0
1966-68,216,f,34.5,239.0,101.0,20.0
1966-68,177,f,37.0,234.0,127.0,23.0
1966-68,270,f,37.0,264.0,152.0,25.0
1966-68,140,f,39.0,254.0,167.0,29.0
1966-68,4,f,40.0,242.0,106.0,23.5
1966-68,89,f,41.0,243.0,125.0,24.5
1966-68,42,f,43.0,247.0,116.5,27.0
1966-68,195,f,48.0,263.0,129.0,29.0
1966-68,299,f,48.0,251.0,125.0,24.0
1966-68,35,m,2.0,147.0,22.5,10.0
1966-68,235,m,2.0,150.0,25.0,11.0
1966-68,139,m,2.25,160.0,28.0,13.0
1966-68,208,m,2.5,148.0,33.0,13.0
1966-68,173,m,2.75,156.0,32.0,13.0
1966-68,196,m,2.75,159.0,35.0,13.0
1966-68,6,m,3.0,180.0,56.0,19.0
1966-68,26,m,3.0,164.0,45.0,15.0
1966-68,75,m,3.0,169.0,43.0,15.0
1966-68,189,m,3.0,165.0,39.0,13.0
1966-68,277,m,3.0,156.0,42.0,14.0
1966-68,193,m,3.25,166.0,42.0,14.0
1966-68,5,m,3.5,164.0,49.0,16.0
1966-68,9,m,3.5,169.0,48.5,15.0
1966-68,52,m,3.5,169.0,51.5,15.5
1966-68,60,m,3.5,169.0,43.0,14.0
1966-68,163,m,3.5,173.0,61.0,18.0
1966-68,197,m,3.5,188.0,53.0,17.0
1966-68,279,m,3.5,161.0,47.0,15.0
1966-68,53,m,4.0,177.0,47.5,14.5
1966-68,63,m,4.0,172.0,50.5,16.0
1966-68,285,m,4.0,175.0,54.0,16.0
1966-68,207,m,5.0,172.0,57.0,16.0
1966-68,228,m,5.0,176.0,51.0,16.0
1966-68,262,m,5.0,195.0,62.0,18.0
1966-68,271,m,5.5,184.0,63.0,17.0
1966-68,21,m,6.0,172.0,59.0,15.0
1966-68,41,m,6.0,176.0,54.5,15.0
1966-68,44,m,6.0,192.0,66.5,16.5
1966-68,169,m,6.0,200.0,66.0,18.0
1966-68,182,m,6.0,185.0,64.0,19.0
1966-68,187,m,6.0,194.0,75.0,20.0
1966-68,236,m,6.0,188.0,58.0,15.0
1966-68,18,m,6.5,183.0,62.0,18.0
1966-68,25,m,7.0,195.0,69.5,17.5
1966-68,214,m,7.0,184.0,69.0,19.0
1966-68,57,m,7.5,199.0,86.5,24.6
1966-68,231,m,7.5,176.0,71.0,17.0
1966-68,3,m,8.0,208.0,92.5,21.5
1966-68,68,m,8.0,197.0,80.5,18.5
1966-68,141,m,8.0,199.0,83.0,21.0
1966-68,147,m,8.0,205.0,69.0,19.0
1966-68,181,m,8.0,217.0,80.0,22.0
1966-68,191,m,8.0,195.0,68.0,17.0
1966-68,198,m,8.0,193.0,65.0,20.0
1966-68,210,m,8.0,191.0,83.0,20.0
1966-68,229,m,8.0,196.0,84.0,19.0
1966-68,2,m,9.0,209.0,83.0,20.5
1966-68,286,m,9.0,215.0,83.0,20.0
1966-68,61,m,10.0,224.0,105.0,23.5
1966-68,77,m,10.0,202.0,76.0,21.0
1966-68,85,m,10.0,213.0,99.0,23.5
1966-68,92,m,10.0,233.0,119.5,28.5
1966-68,156,m,10.0,213.0,99.0,22.0
1966-68,251,m,10.0,215.0,111.0,24.0
1966-68,273,m,10.0,219.0,78.0,20.0
1966-68,283,m,10.0,204.0,84.0,21.0
1966-68,287,m,10.0,227.0,96.0,23.0
1966-68,172,m,11.0,222.0,112.0,25.0
1966-68,174,m,12.0,212.0,104.0,25.0
1966-68,185,m,12.0,237.0,106.0,26.0
1966-68,261,m,12.0,226.0,102.0,22.0
1966-68,36,m,13.0,213.0,78.0,19.0
1966-68,91,m,13.0,240.0,123.0,25.0
1966-68,158,m,13.0,246.0,98.0,23.0
1966-68,183,m,13.0,232.0,88.0,21.0
1966-68,249,m,13.0,240.0,99.0,24.0
1966-68,254,m,13.0,229.0,109.0,26.0
1966-68,142,m,14.0,220.0,115.0,24.0
1966-68,146,m,14.0,249.0,130.0,29.0
1966-68,176,m,14.0,231.0,100.0,25.0
1966-68,200,m,14.0,234.0,103.0,22.0
1966-68,223,m,14.0,227.0,94.0,23.0
1966-68,252,m,14.0,254.0,107.0,26.0
1966-68,272,m,14.0,246.0,112.0,26.0
1966-68,282,m,14.0,236.0,106.0,22.0
1966-68,289,m,15.0,231.0,123.0,21.0
1966-68,79,m,16.0,252.0,139.0,29.0
1966-68,159,m,16.5,255.0,119.0,25.0
1966-68,90,m,17.0,259.0,135.0,28.5
1966-68,160,m,17.0,245.0,122.0,25.0
1966-68,247,m,17.0,244.0,121.0,28.0
1966-68,248,m,17.0,252.0,122.0,29.0
1966-68,250,m,17.0,254.0,120.0,24.0
1966-68,27,m,18.0,240.0,119.0,26.5
1966-68,47,m,18.0,260.0,149.5,31.0
1966-68,50,m,18.0,257.0,98.5,26.5
1966-68,143,m,18.0,239.0,103.0,28.0
1966-68,145,m,18.0,266.0,130.0,27.0
1966-68,171,m,18.0,249.0,119.0,24.0
1966-68,234,m,20.0,255.0,154.0,28.0
1966-68,244,m,20.0,262.0,134.0,26.0
1966-68,245,m,20.0,274.0,142.0,29.0
1966-68,268,m,20.0,262.0,130.0,28.0
1966-68,291,m,20.0,276.0,128.0,21.0
1966-68,190,m,21.0,275.0,162.0,33.0
1966-68,274,m,21.0,270.0,127.0,30.0
1966-68,65,m,23.0,275.0,176.0,35.0
1966-68,212,m,24.0,289.0,130.0,32.0
1966-68,269,m,24.0,239.0,108.0,24.0
1966-68,246,m,25.0,278.0,120.0,31.0
1966-68,138,m,26.0,279.0,135.0,37.0
1966-68,281,m,27.0,285.0,200.0,40.0
1966-68,300,m,30.0,281.0,178.0,35.0
1966-68,280,m,35.0,314.0,206.0,40.0
1966-68,154,m,39.0,304.0,230.0,47.0
1966-68,257,f,2.5,135.0,29.5,10.25
1966-68,183,f,3.0,162.0,34.5,10.0
1966-68,243,f,3.0,162.0,37.5,11.5
1966-68,297,f,3.0,147.0,35.5,11.5
1966-68,140,f,3.5,164.0,43.0,12.0
1966-68,148,f,3.5,158.0,44.0,12.25
1966-68,197,f,3.5,164.0,41.75,12.0
1966-68,185,f,4.0,164.0,44.0,12.5
1966-68,210,f,4.0,180.0,49.6,12.25
1966-68,262,f,4.0,169.0,48.0,14.3
1966-68,225,f,4.5,164.0,40.0,12.0
1966-68,235,f,4.5,169.0,43.0,12.0
1966-68,22,f,5.0,169.0,42.5,12.25
1966-68,27,f,5.5,171.0,45.25,11.5
1966-68,111,f,5.5,185.0,53.25,13.0
1966-68,245,f,6.0,179.0,65.5,15.0
1966-68,96,f,6.5,189.0,63.0,12.75
1966-68,85,f,7.0,172.0,60.0,12.75
1966-68,199,f,7.0,191.0,63.5,14.3
1966-68,248,f,7.0,186.0,75.0,15.3
1966-68,76,f,7.5,188.0,60.0,12.5
1966-68,80,f,8.0,189.0,85.0,16.75
1966-68,246,f,8.0,203.0,83.0,16.0
1966-68,287,f,8.0,192.0,69.5,15.75
1966-68,34,f,8.5,192.0,68.0,14.5
1966-68,40,f,8.5,194.0,74.75,15.0
1966-68,51,f,8.5,199.0,82.0,14.5
1966-68,72,f,8.5,198.0,83.0,17.5
1966-68,109,f,8.5,205.0,65.0,15.5
1966-68,124,f,8.5,202.0,71.5,15.0
1966-68,73,f,9.0,204.0,76.0,13.5
1966-68,131,f,9.0,196.0,72.0,13.0
1966-68,142,f,9.0,196.0,69.25,14.0
1966-68,230,f,9.0,201.0,74.0,15.0
1966-68,232,f,9.0,211.0,72.75,14.75
1966-68,260,f,9.0,204.0,90.0,16.25
1966-68,114,f,10.0,197.0,80.5,15.0
1966-68,261,f,10.0,202.0,89.0,18.0
1966-68,28,f,15.0,225.0,92.5,17.0
1966-68,36,f,15.0,226.0,106.0,17.5
1966-68,90,f,15.0,206.0,84.5,16.0
1966-68,138,f,15.0,231.0,83.5,16.5
1966-68,143,f,15.0,228.0,90.0,19.0
1966-68,182,f,15.0,222.0,103.0,18.0
1966-68,193,f,15.0,217.0,92.25,16.0
1966-68,236,f,15.0,228.0,96.75,18.0
1966-68,286,f,15.0,211.0,73.0,15.75
1966-68,20,f,16.0,217.0,126.5,21.3
1966-68,82,f,16.0,223.0,78.0,15.0
1966-68,162,f,16.0,215.0,110.5,19.0
1966-68,220,f,16.0,222.0,97.0,17.5
1966-68,231,f,16.0,223.0,118.0,17.75
1966-68,192,f,16.5,230.0,83.0,14.25
1966-68,154,f,17.0,226.0,87.0,16.0
1966-68,228,f,17.0,222.0,101.5,16.5
1966-68,3,f,18.0,226.0,93.0,18.0
1966-68,122,f,19.0,230.0,114.0,22.25
1966-68,279,f,19.0,228.0,108.0,18.0
1966-68,299,f,19.0,227.0,112.5,19.0
1966-68,55,f,20.0,230.0,97.5,18.0
1966-68,147,f,20.0,230.0,94.5,18.75
1966-68,295,f,20.0,213.0,107.5,17.0
1966-68,26,f,22.0,226.0,127.0,23.0
1966-68,48,f,22.0,249.0,95.0,20.5
1966-68,84,f,22.0,243.0,115.0,22.0
1966-68,200,f,22.0,239.0,112.5,21.0
1966-68,46,f,23.0,228.0,94.5,17.5
1966-68,107,f,23.0,246.0,106.0,19.75
1966-68,152,f,23.0,226.0,125.5,21.5
1966-68,191,f,23.5,237.0,123.5,25.3
1966-68,10,f,24.0,239.0,110.5,19.5
1966-68,126,f,24.0,222.0,115.75,20.0
1966-68,81,f,25.0,235.0,107.0,20.5
1966-68,133,f,25.0,241.0,114.3,21.0
1966-68,270,f,25.0,232.0,135.3,24.25
1966-68,21,f,26.0,231.0,132.0,22.25
1966-68,69,f,26.0,223.0,112.6,17.3
1966-68,70,f,26.0,240.0,106.75,20.5
1966-68,94,f,26.0,248.0,116.75,19.5
1966-68,216,f,26.0,235.0,118.0,21.5
1966-68,219,f,26.0,238.0,120.5,22.0
1966-68,14,f,28.0,243.0,98.5,22.0
1966-68,39,f,28.0,242.0,90.5,23.0
1966-68,83,f,28.0,240.0,146.0,20.25
1966-68,110,f,28.0,243.0,140.0,24.0
1966-68,130,f,28.0,255.0,119.5,21.5
1966-68,144,f,28.0,244.0,154.75,25.75
1966-68,242,f,28.0,236.0,126.25,21.75
1966-68,181,f,29.0,226.0,102.75,17.25
1966-68,184,f,29.0,238.0,135.0,24.0
1966-68,116,f,30.0,238.0,107.0,21.25
1966-68,129,f,30.0,252.0,150.0,22.0
1966-68,174,f,30.0,242.0,123.0,21.0
1966-68,266,f,30.0,257.0,134.0,26.0
1966-68,176,f,31.0,243.0,129.5,24.0
1966-68,8,f,32.0,242.0,174.0,25.5
1966-68,24,f,32.0,242.0,135.0,24.25
1966-68,98,f,32.0,236.0,113.0,20.0
1966-68,151,f,32.0,250.0,137.0,25.25
1966-68,247,f,32.0,262.0,143.5,24.0
1966-68,290,f,33.0,246.0,132.0,23.5
1966-68,35,f,34.0,246.0,135.0,25.0
1966-68,135,f,34.0,262.0,124.75,24.0
1966-68,160,f,34.0,239.0,104.5,22.0
1966-68,178,f,34.0,243.0,117.5,22.25
1966-68,179,f,34.0,244.0,124.5,23.0
1966-68,300,f,34.0,249.0,143.0,22.5
1966-68,223,f,35.0,254.0,149.0,26.25
1966-68,189,f,36.0,241.0,129.75,25.25
1966-68,213,f,36.0,241.0,134.0,22.5
1966-68,254,f,38.0,243.0,146.0,25.75
1966-68,77,f,40.0,247.0,174.0,25.75
1966-68,115,f,41.0,236.0,145.5,23.0
1966-68,188,f,41.0,257.0,127.0,22.0
1966-68,284,f,43.0,256.0,174.5,23.0
1966-68,264,f,45.0,251.0,143.0,27.6
1966-68,217,f,48.0,250.0,134.5,23.5
1966-68,196,f,49.0,251.0,147.75,27.5
1966-68,103,f,50.0,276.0,187.0,28.0
1966-68,167,m,2.0,140.0,28.5,12.75
1966-68,141,m,2.5,152.0,33.5,13.5
1966-68,153,m,2.5,148.0,26.0,10.75
1966-68,208,m,2.5,149.0,32.0,13.0
1966-68,238,m,2.5,148.0,27.0,12.0
1966-68,268,m,2.5,164.0,36.75,13.0
1966-68,298,m,2.5,153.0,34.5,13.5
1966-68,53,m,3.0,157.0,43.0,14.0
1966-68,207,m,3.0,171.0,48.5,15.75
1966-68,272,m,3.0,161.0,50.0,16.0
1966-68,283,m,3.0,157.0,44.0,15.0
1966-68,125,m,3.5,173.0,54.0,17.25
1966-68,150,m,3.5,169.0,54.25,16.0
1966-68,177,m,3.5,157.0,46.0,14.75
1966-68,251,m,3.5,167.0,50.5,18.0
1966-68,289,m,3.5,160.0,45.0,14.0
1966-68,15,m,4.0,171.0,58.0,17.5
1966-68,54,m,4.0,168.0,58.0,14.5
1966-68,119,m,4.0,176.0,59.0,16.75
1966-68,173,m,4.0,173.0,51.0,13.75
1966-68,187,m,4.0,168.0,53.0,16.0
1966-68,108,m,4.5,162.0,50.5,14.5
1966-68,170,m,4.5,178.0,64.0,16.3
1966-68,201,m,4.5,174.0,61.25,16.75
1966-68,78,m,5.0,161.0,48.0,15.75
1966-68,145,m,5.0,167.0,61.5,17.75
1966-68,23,m,5.5,168.0,57.5,15.0
1966-68,222,m,6.0,186.0,71.5,18.3
1966-68,89,m,7.0,183.0,64.0,16.5
1966-68,215,m,7.0,180.0,73.0,18.0
1966-68,252,m,7.0,188.0,81.0,21.0
1966-68,296,m,7.0,194.0,82.5,20.5
1966-68,269,m,7.5,201.0,88.0,21.5
1966-68,25,m,8.0,207.0,84.0,20.0
1966-68,38,m,8.0,197.0,91.0,20.75
1966-68,100,m,8.0,212.0,88.0,19.25
1966-68,118,m,8.0,182.0,71.25,16.3
1966-68,149,m,8.0,202.0,92.5,22.0
1966-68,12,m,8.5,203.0,80.5,19.5
1966-68,212,m,8.5,213.0,82.5,18.3
1966-68,241,m,8.5,216.0,97.5,23.0
1966-68,13,m,9.0,208.0,83.0,20.5
1966-68,47,m,9.0,200.0,98.75,21.5
1966-68,67,m,9.0,199.0,90.0,20.0
1966-68,159,m,9.0,207.0,89.0,20.0
1966-68,171,m,9.5,204.0,73.25,16.0
1966-68,91,m,10.0,200.0,94.75,20.3
1966-68,166,m,10.0,231.0,117.0,22.0
1966-68,169,m,10.0,200.0,97.0,21.5
1966-68,44,m,10.5,215.0,113.0,20.3
1966-68,113,m,11.0,218.0,104.0,23.0
1966-68,134,m,11.0,206.0,82.0,19.5
1966-68,112,m,12.0,226.0,97.0,23.3
1966-68,17,m,14.5,242.0,120.0,25.0
1966-68,9,m,15.0,244.0,132.0,30.0
1966-68,37,m,15.0,245.0,122.5,27.25
1966-68,60,m,15.0,242.0,108.0,24.5
1966-68,68,m,15.0,239.0,114.0,25.0
1966-68,92,m,15.0,235.0,124.0,23.6
1966-68,267,m,15.0,241.0,120.0,26.0
1966-68,285,m,15.0,238.0,131.5,30.0
1966-68,293,m,15.0,236.0,144.5,27.5
1966-68,249,m,16.0,236.0,125.0,25.0
1966-68,259,m,16.0,224.0,99.0,18.5
1966-68,281,m,16.0,244.0,131.0,28.0
1966-68,172,m,16.5,244.0,122.5,25.75
1966-68,202,m,16.5,240.0,129.0,27.0
1966-68,7,m,17.0,246.0,127.5,25.0
1966-68,203,m,17.0,237.0,144.0,30.25
1966-68,93,m,18.0,265.0,108.0,27.5
1966-68,256,m,18.0,246.0,130.0,28.5
1966-68,265,m,18.0,234.0,132.25,27.0
1966-68,155,m,19.0,251.0,149.0,30.0
1966-68,1,m,20.0,261.0,145.0,30.0
1966-68,63,m,20.0,272.0,141.0,29.0
1966-68,244,m,20.0,247.0,150.0,29.0
1966-68,18,m,22.0,261.0,130.0,30.25
1966-68,275,m,22.0,245.0,139.0,30.0
1966-68,195,m,22.5,244.0,157.5,34.0
1966-68,273,m,22.5,255.0,153.0,30.5
1966-68,274,m,22.5,263.0,110.5,32.5
1966-68,65,m,23.0,273.0,140.5,32.5
1966-68,104,m,23.0,266.0,134.0,30.5
1966-68,190,m,23.0,273.0,151.0,33.0
1966-68,292,m,23.0,253.0,121.0,30.0
1966-68,2,m,24.0,269.0,171.0,35.0
1966-68,128,m,24.0,271.0,150.0,29.5
1966-68,278,m,24.0,275.0,133.75,32.5
1966-68,258,m,26.0,272.0,137.0,30.3
1966-68,56,m,27.0,289.0,189.0,34.0
1966-68,175,m,27.0,298.0,191.5,39.0
1966-68,204,m,28.0,293.0,159.5,33.0
1966-68,57,m,29.0,284.0,187.5,42.5
1966-68,59,m,29.0,248.0,136.0,28.25
1966-68,277,m,29.0,294.0,170.0,43.0
1966-68,58,m,30.0,280.0,158.0,41.0
1966-68,276,m,34.0,314.0,213.0,48.0
1966-68,62,m,39.0,294.0,205.0,46.5
1966-68,64,m,41.0,303.0,229.5,43.25
1966-68,61,m,46.0,285.0,234.0,43.5
2005-13,52,f,4.5,195.0,47.077,14.0
2005-13,14,f,5.0,200.0,48.2328,15.0
2005-13,42,f,5.0,180.0,54.0118,17.0
2005-13,29,f,6.0,210.0,52.856,18.0
2005-13,26,f,7.0,185.0,41.298,14.0
2005-13,27,f,7.0,190.0,49.3886,15.0
2005-13,13,f,8.0,245.0,52.856,20.0
2005-13,60,f,8.0,210.0,70.193,20.0
2005-13,40,f,10.0,205.0,58.635,15.0
2005-13,39,f,11.0,255.0,54.0118,16.0
2005-13,19,f,11.0,240.0,55.1676,17.0
2005-13,62,f,11.0,230.0,64.414,20.0
2005-13,23,f,11.5,230.0,70.193,19.0
2005-13,55,f,15.0,230.0,57.4792,19.0
2005-13,10,f,15.0,255.0,70.193,20.0
2005-13,11,f,15.0,280.0,70.193,25.0
2005-13,16,f,20.0,225.0,58.635,18.0
2005-13,17,f,20.0,295.0,74.8162,26.0
2005-13,22,f,22.5,270.0,87.53,25.0
2005-13,59,f,25.0,245.0,70.193,20.0
2005-13,1,f,25.0,250.0,87.53,28.0
2005-13,56,f,25.0,230.0,90.9974,25.0
2005-13,51,f,25.0,280.0,104.867,29.0
2005-13,31,f,27.5,290.0,88.6858,30.0
