Years of sample collection,Elephant ID,Sex,Estimated age (years),Shoulder height (cm),Tusk length (cm),Tusk circumference (cm),Column1
1966-68,58,f,2.5,149,30,10.5,87.73416238
1966-68,78,f,2.5,151,27,10.5,78.96074614
1966-68,86,f,2.5,127,27,10.5,78.96074614
1966-68,293,f,2.5,156,32,11,102.7079899
1966-68,29,f,3,146,28.5,9.5,68.22773467
1966-68,43,f,3,149,30.5,10,80.90376274
1966-68,221,f,3.5,166,43,11,138.0138615
1966-68,222,f,3.5,178,44,14,228.7587049
1966-68,241,f,3.5,177,45,12,171.8873385
1966-68,255,f,3.5,171,46,13,206.2117546
1966-68,153,f,3.75,175,47,13,210.6946188
1966-68,84,f,4,158,39.5,12,150.8788861
1966-68,87,f,4,157,42,13,188.2802977
1966-68,205,f,4,178,49,13,219.6603473
1966-68,238,f,4,176,45,12,171.8873385
1966-68,256,f,5,177,50,13,224.1432115
1966-68,296,f,5,178,43,12,164.2479013
1966-68,33,f,6,184,48.5,11,155.6667973
1966-68,240,f,6,191,57,13,255.5232611
1966-68,298,f,6,190,66,15,393.9084842
1966-68,224,f,7.5,194,59,14,306.744627
1966-68,290,f,7.5,183,65,14,337.9389958
1966-68,38,f,8,199,60,14.5,334.6232679
1966-68,157,f,8,193,65,14,337.9389958
1966-68,155,f,8.5,201,67,15,399.8767945
1966-68,59,f,10,231,79.5,17,609.4440658
1966-68,66,f,10,203,82,16.5,592.1757545
1966-68,80,f,10,205,76.5,15,456.575743
1966-68,220,f,10,195,79,16,536.4582615
1966-68,253,f,10,224,83,19,794.79326
1966-68,278,f,10,218,88,17,674.6047521
1966-68,32,f,11,212,71,14,369.1333647
1966-68,48,f,11,221,80,17.5,649.8826843
1966-68,179,f,11,205,67,14,348.3371188
1966-68,297,f,11,190,83,17,636.2749367
1966-68,67,f,12,214,56,16,380.2742107
1966-68,7,f,13,213,91,17,697.6026414
1966-68,15,f,13,214,81.5,17.5,662.0679846
1966-68,164,f,13,218,82,17,628.6089736
1966-68,237,f,13,222,83,17,636.2749367
1966-68,194,f,13.5,219,70,14,363.9343032
1966-68,23,f,14,218,84,17.5,682.3768185
1966-68,148,f,14,233,94,19,900.1273065
1966-68,204,f,14,204,87,18,747.7099226
1966-68,219,f,14,220,73,16,495.7145961
1966-68,199,f,14.5,230,75,19,718.1866807
1966-68,37,f,15,217,100,19,957.5822409
1966-68,70,f,15,210,79,16,536.4582615
1966-68,72,f,15,211,92.5,16.5,668.0031377
1966-68,74,f,15,226,91.5,20,970.8451529
1966-68,275,f,15,233,111,18,953.9747289
1966-68,8,f,16,216,102,20.5,1137.042702
1966-68,168,f,16,241,98,18,842.2479588
1966-68,243,f,16.5,237,91,19,871.3998393
1966-68,150,f,17,235,116,23,1627.730655
1966-68,167,f,17,237,105,19,1005.461353
1966-68,213,f,17,222,84,18,721.9268219
1966-68,226,f,17,243,106,21,1239.976162
1966-68,260,f,17.5,226,99,21,1158.090943
1966-68,17,f,18,194,112,21,1310.163492
1966-68,62,f,18,229,80.5,17,617.1100289
1966-68,81,f,18,229,86.5,17,663.1058075
1966-68,258,f,18,217,96,18,825.059225
1966-68,28,f,20,220,91.5,18.5,830.6793839
1966-68,202,f,20,233,104,21,1216.580385
1966-68,39,f,21,223,99,18.5,898.767858
1966-68,203,f,21,229,108,18,928.1916281
1966-68,259,f,21,247,109,21,1275.069827
1966-68,30,f,22,225,99,19,948.0064185
1966-68,40,f,22,246,115,21.5,1410.079639
1966-68,64,f,22,201,116,22,1489.265854
1966-68,267,f,22,235,117,20,1241.408556
1966-68,88,f,23,221,93,19.5,938.0393402
1966-68,215,f,23,249,107,20,1135.305261
1966-68,20,f,24,246,93.5,17.5,759.5503873
1966-68,149,f,24,241,124,22,1591.973844
1966-68,232,f,24,240,113,21,1321.86138
1966-68,294,f,24,245,114,22,1463.588857
1966-68,22,f,25,239,111,20,1177.746579
1966-68,71,f,25,237,112,22,1437.911859
1966-68,201,f,25,260,105,19,1005.461353
1966-68,227,f,25,245,118,23,1655.794976
1966-68,242,f,25,243,115,22,1476.427355
1966-68,55,f,26,249,119,21,1392.04871
1966-68,83,f,26,230,108,19.4,1078.191979
1966-68,166,f,26,247,107,22,1373.719365
1966-68,211,f,26,239,143,25,2370.745506
1966-68,225,f,26,245,124,25,2055.751348
1966-68,19,f,27,244,135.5,24.5,2157.448041
1966-68,144,f,27,242,136,23,1908.373871
1966-68,233,f,27,244,116,24,1772.349446
1966-68,31,f,28,244,109.5,21.7,1367.736599
1966-68,188,f,28,248,105,21,1228.278273
1966-68,1,f,30,243,139.5,22.5,1873.303416
1966-68,76,f,30,236,105,23,1473.376886
1966-68,209,f,31,232,102,24,1558.445203
1966-68,257,f,31,235,116,25,1923.122229
1966-68,14,f,32,251,140,25,2321.009587
1966-68,161,f,32,248,155,27,2997.285466
1966-68,178,f,32,261,143,23,2006.598997
1966-68,192,f,32,251,129,22,1656.166338
1966-68,216,f,34.5,239,101,20,1071.643283
1966-68,177,f,37,234,127,23,1782.084424
1966-68,270,f,37,264,152,25,2519.953266
1966-68,140,f,39,254,167,29,3725.472382
1966-68,4,f,40,242,106,23.5,1552.781939
1966-68,89,f,41,243,125,24.5,1990.265721
1966-68,42,f,43,247,116.5,27,2252.798431
1966-68,195,f,48,263,129,29,2877.760104
1966-68,299,f,48,251,125,24,1909.859317
1966-68,35,m,2,147,22.5,10,59.68310366
1966-68,235,m,2,150,25,11,80.24061714
1966-68,139,m,2.25,160,28,13,125.5201985
1966-68,208,m,2.5,148,33,13,147.9345196
1966-68,173,m,2.75,156,32,13,143.4516554
1966-68,196,m,2.75,159,35,13,156.9002481
1966-68,6,m,3,180,56,19,536.2460549
1966-68,26,m,3,164,45,15,268.5739665
1966-68,75,m,3,169,43,15,256.6373457
1966-68,189,m,3,165,39,13,174.831705
1966-68,277,m,3,156,42,14,218.3605819
1966-68,193,m,3.25,166,42,14,218.3605819
1966-68,5,m,3.5,164,49,16,332.7399344
1966-68,9,m,3.5,169,48.5,15,289.4630527
1966-68,52,m,3.5,169,51.5,15.5,328.2007028
1966-68,60,m,3.5,169,43,14,223.5596434
1966-68,163,m,3.5,173,61,18,524.2563825
1966-68,197,m,3.5,188,53,17,406.2960439
1966-68,279,m,3.5,161,47,15,280.5105872
1966-68,53,m,4,177,47.5,14.5,264.910087
1966-68,63,m,4,172,50.5,16,342.9258507
1966-68,285,m,4,175,54,16,366.6929889
1966-68,207,m,5,172,57,16,387.0648216
1966-68,228,m,5,176,51,16,346.3211562
1966-68,262,m,5,195,62,18,532.8507495
1966-68,271,m,5.5,184,63,17,482.9556748
1966-68,21,m,6,172,59,15,352.1303116
1966-68,41,m,6,176,54.5,15,325.2729149
1966-68,44,m,6,192,66.5,16.5,480.2400936
1966-68,169,m,6,200,66,18,567.2282172
1966-68,182,m,6,185,64,19,612.8526342
1966-68,187,m,6,194,75,20,795.7747155
1966-68,236,m,6,188,58,15,346.1620012
1966-68,18,m,6.5,183,62,18,532.8507495
1966-68,25,m,7,195,69.5,17.5,564.585582
1966-68,214,m,7,184,69,19,660.7317462
1966-68,57,m,7.5,199,86.5,24.6,1388.529794
1966-68,231,m,7.5,176,71,17,544.2833796
1966-68,3,m,8,208,92.5,21.5,1134.194492
1966-68,68,m,8,197,80.5,18.5,730.8162886
1966-68,141,m,8,199,83,21,970.9247303
1966-68,147,m,8,205,69,19,660.7317462
1966-68,181,m,8,217,80,22,1027.079899
1966-68,191,m,8,195,68,17,521.2854903
1966-68,198,m,8,193,65,20,689.6714201
1966-68,210,m,8,191,83,20,880.6573518
1966-68,229,m,8,196,84,19,804.3690824
1966-68,2,m,9,209,83,20.5,925.2406302
1966-68,286,m,9,215,83,20,880.6573518
1966-68,61,m,10,224,105,23.5,1538.133053
1966-68,77,m,10,202,76,21,889.0395121
1966-68,85,m,10,213,99,23.5,1450.239736
1966-68,92,m,10,233,119.5,28.5,2574.69925
1966-68,156,m,10,213,99,22,1271.011376
1966-68,251,m,10,215,111,24,1695.955074
1966-68,273,m,10,219,78,20,827.6057041
1966-68,283,m,10,204,84,21,982.6226186
1966-68,287,m,10,227,96,23,1347.087438
1966-68,172,m,11,222,112,25,1856.807669
1966-68,174,m,12,212,104,25,1724.17855
1966-68,185,m,12,237,106,26,1900.734434
1966-68,261,m,12,226,102,22,1309.526872
1966-68,36,m,13,213,78,19,746.9141479
1966-68,91,m,13,240,123,25,2039.172708
1966-68,158,m,13,246,98,23,1375.15176
1966-68,183,m,13,232,88,21,1029.414172
1966-68,249,m,13,240,99,24,1512.608579
1966-68,254,m,13,229,109,26,1954.528804
1966-68,142,m,14,220,115,24,1757.070572
1966-68,146,m,14,249,130,29,2900.068321
1966-68,176,m,14,231,100,25,1657.863991
1966-68,200,m,14,234,103,22,1322.365371
1966-68,223,m,14,227,94,23,1319.023117
1966-68,252,m,14,254,107,26,1918.665891
1966-68,272,m,14,246,112,26,2008.323175
1966-68,282,m,14,236,106,22,1360.880867
1966-68,289,m,15,231,123,21,1438.840263
1966-68,79,m,16,252,139,29,3100.842282
1966-68,159,m,16.5,255,119,25,1972.858149
1966-68,90,m,17,259,135,28.5,2908.656057
1966-68,160,m,17,245,122,25,2022.594068
1966-68,247,m,17,244,121,28,2516.345754
1966-68,248,m,17,252,122,29,2721.602579
1966-68,250,m,17,254,120,24,1833.464944
1966-68,27,m,18,240,119,26.5,2216.703416
1966-68,47,m,18,260,149.5,31,3810.951849
1966-68,50,m,18,257,98.5,26.5,1834.83434
1966-68,143,m,18,239,103,28,2142.013327
1966-68,145,m,18,266,130,27,2513.852326
1966-68,171,m,18,249,119,24,1818.18607
1966-68,234,m,20,255,154,28,3202.621868
1966-68,244,m,20,262,134,26,2402.815228
1966-68,245,m,20,274,142,29,3167.766936
1966-68,268,m,20,262,130,28,2703.511967
1966-68,291,m,20,276,128,21,1497.329705
1966-68,190,m,21,275,162,33,4679.632792
1966-68,274,m,21,270,127,30,3031.901666
1966-68,65,m,23,275,176,35,5718.967622
1966-68,212,m,24,289,130,32,3531.117671
1966-68,269,m,24,239,108,24,1650.11845
1966-68,246,m,25,278,120,31,3058.958006
1966-68,138,m,26,279,135,37,4902.370135
1966-68,281,m,27,285,200,40,8488.263632
1966-68,300,m,30,281,178,35,5783.95589
1966-68,280,m,35,314,206,40,8742.911541
1966-68,154,m,39,304,230,47,13476.97532
1966-68,257,f,2.5,135,29.5,10.25,82.21264636
